date_time,ms_played,minutes_played,country,episode_name,show_name,album_name,track_name,artist_name,skipped,type
2021-02-19 03:01:58+00:00,68358,1.1393,NZ,"Day 32: ""Happy Halloween"" in Cantonese",Learn Cantonese Daily,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2021-02-19 03:02:34+00:00,35664,0.5944,NZ,Day 33: Yes and No in Cantonese,Learn Cantonese Daily,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2021-02-19 03:04:02+00:00,87677,1.461283333,NZ,"Day 34: ""When did you graduate"" in Cantonese",Learn Cantonese Daily,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2021-02-19 03:05:05+00:00,62413,1.040216667,NZ,"Day 35: ""Where do you work"" in Cantonese",Learn Cantonese Daily,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2021-02-19 03:06:07+00:00,60927,1.01545,NZ,"Day 36:  How to say ""thank you"" in Cantonese",Learn Cantonese Daily,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2021-02-19 03:07:02+00:00,54983,0.916383333,NZ,"Day 37:  ""It was fun"" in Cantonese",Learn Cantonese Daily,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2021-02-19 03:10:26+00:00,84704,1.411733333,NZ,"Day 38:  ""What do you study"" in Cantonese",Learn Cantonese Daily,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2021-02-19 03:12:02+00:00,95107,1.585116667,NZ,"Day 39:  ""I know..."" in Cantonese",Learn Cantonese Daily,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2021-02-19 03:13:18+00:00,75788,1.263133333,NZ,"Day 40:  ""How to..."" in Cantonese",Learn Cantonese Daily,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2021-02-19 03:13:26+00:00,6493,0.108216667,NZ,"Day 41:  ""Do you like..."" in Cantonese",Learn Cantonese Daily,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2021-02-19 06:38:40+00:00,10133,0.168883333,NZ,EP03｜不能去旅行那就來一趟中年之旅吧,腦闆想什麼？,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2021-02-19 07:52:02+00:00,2216143,36.93571667,NZ,EP07｜在家裡玩師兄師姐的遊戲 ft. 小啦（下）,腦闆想什麼？,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2021-02-19 07:52:49+00:00,46442,0.774033333,NZ,EP07｜在家裡玩師兄師姐的遊戲 ft. 小啦（下）,腦闆想什麼？,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2021-02-20 02:23:46+00:00,752682,12.5447,NZ,EP04.5｜過年視同作戰，請大家好好聊天,腦闆想什麼？,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2021-02-22 21:46:13+00:00,69844,1.164066667,NZ,"Day 43: ""I am very hungry"" in Cantonese",Learn Cantonese Daily,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
